LIFE_FORM,AR_coef,geometry,elevation,elev_units,long,lat
HARDWOOD,-0.147368008958286,-121.414428710938|40.4429931640625,1750.51,meters,-121.414428710938,40.4429931640625
HARDWOOD,-0.517110718513964,-121.386413574219|39.8681907653808,716.66,meters,-121.386413574219,39.8681907653808
HARDWOOD,-0.497469300600802,-121.362365722656|39.8868141174317,552.39,meters,-121.362365722656,39.8868141174317
HARDWOOD,-0.466783580183803,-121.362258911133|39.8682823181152,919.2,meters,-121.362258911133,39.8682823181152
HARDWOOD,-0.261526789400865,-121.34098815918|40.3875923156738,1637.89,meters,-121.34098815918,40.3875923156738
HARDWOOD,-0.542982726475241,-121.290069580078|39.9241180419922,1057.41,meters,-121.290069580078,39.9241180419922
HARDWOOD,-0.442997240190705,-121.242614746094|40.1467361450196,1326.97,meters,-121.242614746094,40.1467361450196
HARDWOOD,-0.32706647561383,-121.241943359375|39.9798583984375,1745.43,meters,-121.241943359375,39.9798583984375
HARDWOOD,-0.215147290431621,-121.218536376953|40.2024269104004,1367.91,meters,-121.218536376953,40.2024269104004
HARDWOOD,0.0898941626368532,-121.217620849609|39.9428291320801,1904.04,meters,-121.217620849609,39.9428291320801
HARDWOOD,-0.535381516801079,-121.216903686523|39.7389373779297,1051.35,meters,-121.216903686523,39.7389373779297
HARDWOOD,-0.227120665207952,-121.193496704102|39.9614105224609,1978.27,meters,-121.193496704102,39.9614105224609
HARDWOOD,-0.171425437872161,-121.169219970703|39.9243812561036,1791.36,meters,-121.169219970703,39.9243812561036
HARDWOOD,-0.100253250564779,-121.169067382813|39.8687782287598,1581.54,meters,-121.169067382813,39.8687782287598
HARDWOOD,-0.532030638867219,-121.1689453125|39.8317070007324,1750.01,meters,-121.1689453125,39.8317070007324
HARDWOOD,-0.26285050709759,-121.145126342773|39.9615020751953,1842.44,meters,-121.145126342773,39.9615020751953
HARDWOOD,-0.190788997776011,-121.144897460938|39.8688087463379,1629.24,meters,-121.144897460938,39.8688087463379
HARDWOOD,-0.209843358508296,-121.144821166992|39.8317375183105,1592.46,meters,-121.144821166992,39.8317375183105
