AR_coef,season,LIFE_FORM,geometry,elevation,elev_units,long,lat
-0.0491067301606342,fall,HARDWOOD,-121.414428710938|40.4429931640625,1750.51,meters,-121.414428710938,40.4429931640625
-0.0761573839731448,fall,HARDWOOD,-121.386413574219|39.8681907653808,716.66,meters,-121.386413574219,39.8681907653808
-0.0878529828541845,fall,HARDWOOD,-121.362365722656|39.8868141174317,552.39,meters,-121.362365722656,39.8868141174317
-0.0816500972682288,fall,HARDWOOD,-121.362258911133|39.8682823181152,919.2,meters,-121.362258911133,39.8682823181152
-0.0863583592554914,fall,HARDWOOD,-121.34098815918|40.3875923156738,1637.89,meters,-121.34098815918,40.3875923156738
-0.177460937777845,fall,HARDWOOD,-121.290069580078|39.9241180419922,1057.41,meters,-121.290069580078,39.9241180419922
-0.204743498529232,fall,HARDWOOD,-121.242614746094|40.1467361450196,1326.97,meters,-121.242614746094,40.1467361450196
-0.074856861965723,fall,HARDWOOD,-121.241943359375|39.9798583984375,1745.43,meters,-121.241943359375,39.9798583984375
-0.098534745654624,fall,HARDWOOD,-121.218536376953|40.2024269104004,1367.91,meters,-121.218536376953,40.2024269104004
0.0451139312156393,fall,HARDWOOD,-121.217620849609|39.9428291320801,1904.04,meters,-121.217620849609,39.9428291320801
-0.116659445825704,fall,HARDWOOD,-121.216903686523|39.7389373779297,1051.35,meters,-121.216903686523,39.7389373779297
-0.00522753140293839,fall,HARDWOOD,-121.193496704102|39.9614105224609,1978.27,meters,-121.193496704102,39.9614105224609
0.00194402814415951,fall,HARDWOOD,-121.169219970703|39.9243812561036,1791.36,meters,-121.169219970703,39.9243812561036
-0.043500440712578,fall,HARDWOOD,-121.169067382813|39.8687782287598,1581.54,meters,-121.169067382813,39.8687782287598
-0.143293597469041,fall,HARDWOOD,-121.1689453125|39.8317070007324,1750.01,meters,-121.1689453125,39.8317070007324
-0.0596683828038325,fall,HARDWOOD,-121.145126342773|39.9615020751953,1842.44,meters,-121.145126342773,39.9615020751953
-0.097680335595008,fall,HARDWOOD,-121.144897460938|39.8688087463379,1629.24,meters,-121.144897460938,39.8688087463379
