Date,Bay
1/1/2018,No Burn
1/2/2018,No Burn
1/3/2018,No Burn
1/4/2018,Burn
1/5/2018,Burn
1/6/2018,Burn
1/7/2018,Burn
1/8/2018,Burn
1/9/2018,Burn
1/10/2018,Burn
1/11/2018,Burn
1/12/2018,No Burn
1/13/2018,No Burn
1/14/2018,No Burn
1/15/2018,No Burn
1/16/2018,Burn
1/17/2018,Burn
1/18/2018,Burn
1/19/2018,Burn
1/20/2018,Burn
1/21/2018,Burn
1/22/2018,Burn
1/23/2018,Burn
1/24/2018,Burn
1/25/2018,Burn
1/26/2018,Burn
1/27/2018,Burn
1/28/2018,
1/29/2018,No Burn
1/30/2018,
1/31/2018,No Burn
2/1/2018,
2/2/2018,No Burn
2/3/2018,No Burn
2/4/2018,No Burn
2/5/2018,No Burn
2/6/2018,No Burn
2/7/2018,No Burn
2/8/2018,No Burn
2/9/2018,No Burn
2/10/2018,No Burn
2/11/2018,Burn
2/12/2018,Burn
2/13/2018,Burn
2/14/2018,Burn
2/15/2018,Burn
2/16/2018,Burn
2/17/2018,Burn
2/18/2018,Burn
2/19/2018,Burn
2/20/2018,Burn
2/21/2018,Burn
2/22/2018,Burn
2/23/2018,Burn
2/24/2018,Burn
2/25/2018,Burn
2/26/2018,Burn
2/27/2018,Burn
2/28/2018,No Burn
3/1/2018,Burn
3/2/2018,Burn
3/3/2018,Burn
3/4/2018,Burn
3/5/2018,Burn
3/6/2018,Burn
3/7/2018,Burn
3/8/2018,Burn
3/9/2018,Burn
3/10/2018,Burn
3/11/2018,Burn
3/12/2018,
3/13/2018,Burn
3/14/2018,Burn
3/15/2018,Burn
3/16/2018,Burn
3/17/2018,Burn
3/18/2018,Burn
3/19/2018,Burn
3/20/2018,Burn
3/21/2018,Burn
3/22/2018,Burn
3/23/2018,Burn
3/24/2018,Burn
3/25/2018,Burn
3/26/2018,Burn
3/27/2018,Burn
3/28/2018,Burn
3/29/2018,Burn
3/30/2018,Burn
3/31/2018,Burn
